id;progressivo;staccato;bruciato;jhi_key
1;76098;2020-04-12T19:50:56;2020-04-13T02:43:04;0c1552ce-5c14-4332-8f82-806d3e9ea102
2;14996;2020-04-13T15:26:47;2020-04-13T17:18:50;50c49f4c-5b12-4e4e-8bc8-66aca849fc96
3;90716;2020-04-12T21:40:00;2020-04-13T14:36:19;d5ba8bf8-87f6-4e35-9bef-82f7839cf64b
4;38195;2020-04-13T14:44:27;2020-04-12T22:00:33;ddec223c-1fe1-4e9f-98f0-b8afa5c88e83
5;42533;2020-04-13T07:04:27;2020-04-12T21:43:50;401dac47-0d0e-4bd4-86fb-d13ac70f23d8
6;94282;2020-04-13T16:16:01;2020-04-13T05:41:11;36bcb5fd-be79-4f53-b17f-8330c106e270
7;52930;2020-04-13T17:55:48;2020-04-13T14:42:59;e2d82da0-0726-4d3d-be59-1ffc12d0f8f6
8;71276;2020-04-13T17:14:49;2020-04-13T03:28:42;2eeb741c-afd1-4129-9b72-69d18568ec54
9;76460;2020-04-12T22:08:59;2020-04-12T21:45:09;52a8f3f3-a3e4-4c6d-819a-25c8ec6e6463
10;74334;2020-04-13T09:20:18;2020-04-12T23:07:00;7d3ce4b1-2a07-4575-9d2f-c2186cd1a25b
